A13J-11A A20N-11A A20Q-11A A20R-11A A20U-11A A20W-11A A2LA-11A A2LB-11A A0YN-11A A0YR-11A A3BM-11A A3WC-11A A6I3-11A A2C5-11A A3OP-11A A3OQ-11A A3WV-11A A54R-11A A5RI-11A
A1BG 19.9152 13.9983 3.5336 22.9086 31.7829 35.8685 28.2700 40.7699 14.4718 27.0588 27.0829 45.1662 379.7742 54.5335 21.6638 25.0463 44.3067 10.7527 135.0147
A1CF 0.0000 0.0000 0.0000 0.3957 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.1962 0.0000 0.3332 0.0000 0.0000 0.0000
A2BP1 0.0000 0.0000 0.0000 0.3957 0.0000 10.4110 8.0169 1.3915 0.7236 1.7647 31.9374 0.0000 1.3280 3.1898 0.3438 15.3290 14.1807 13.1422 3.3768
A2LD1 41.2539 54.8469 55.2739 54.5548 60.1550 63.5178 52.4684 74.9165 91.1577 40.7941 78.4255 57.6210 89.0239 147.8429 77.4905 129.9735 70.1418 33.8232 80.6045
A2ML1 0.7376 0.0000 0.0000 1.1872 35975.1938 38.3562 43.4599 30820.5009 0.7236 4.1176 10.2200 243.1487 100.9296 157.4960 1769.3365 412.8840 26.7857 75.8662 7.2360
A2M 35276.1350 54673.5958 31100.6007 59156.5453 27120.0853 173726.4767 27797.3882 30808.3952 59332.7496 56159.1588 60484.8162 38265.0146 46328.8380 20249.5295 17636.9337 37817.0097 8306.1292 34322.5568 82397.9382
A4GALT 744.9751 1314.9606 1060.0707 2015.4333 1805.4264 969.8630 3233.7553 1303.8033 1021.7077 1246.4706 1237.2550 1145.7726 1771.5803 1338.9155 2089.3778 1089.3607 1518.3824 1409.1995 1714.4566
A4GNT 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.4638 0.7236 0.5882 1.2775 3.4985 0.0000 0.0000 0.0000 1.3330 1.0504 1.1947 0.0000
AAA1 0.0000 0.0000 0.0000 0.0000 0.0000 0.5479 0.0000 0.0000 0.0000 0.5882 0.6387 0.0000 0.0000 0.3987 0.0000 0.3332 0.0000 0.0000 0.0000
AAAS 486.0778 419.0726 601.5901 450.7321 660.4651 677.2603 622.3629 574.6753 638.9291 669.4118 630.4443 663.5569 806.1089 574.5614 680.9900 580.1704 711.1345 556.7503 550.4207
AACSL 0.0000 0.0000 0.0000 0.0000 21.7054 0.0000 0.0000 1.3915 0.0000 0.0000 0.6387 0.0000 0.6640 0.0000 0.0000 0.6665 0.0000 0.0000 0.0000
