Gene Symbol,GSM155929,GSM155930,GSM155970,GSM155975,GSM155977,GSM155981,GSM155982
MIR4640,6.65376227121003,5.616866385522259,5.63827661138942,6.075735843469441,5.81435302630809,6.7373217155475,6.76554800636675
RFC2,7.0500118641734,6.9829365500479295,6.81721392425833,7.09781092297441,7.318949463595019,7.241449337176,6.650936845211589
HSPA6,12.0258939415941,5.247562997071349,6.35825382817768,5.511629327714809,5.747508245814,10.6575864175802,5.62777024093527
PAX8,6.679283035017099,6.818224255245969,6.62631209216789,6.439756098714841,6.578194537245821,6.297670156308469,6.47144436471704
GUCA1A,2.39686367247988,2.410373670726,2.43995020000218,2.3107589067709102,2.3803138658877203,2.31357383168587,2.32373898285898
MIR5193,6.44884314970515,7.2460945064335505,7.26448013326789,6.930831937414791,6.88335199643464,6.86352966194803,7.4736651669096394
THRA,3.8810674509866603,3.9572831653441902,4.04491864037528,3.7320955011548103,3.8327178929103196,3.73593369826521,3.79036544078389
PTPN21,3.3848096471541,3.30459573194799,3.49125024446365,3.38567951828893,3.4865341857701404,3.26044424786115,3.4826288941547996
CCL5,5.91195277709617,5.72581476151613,6.02217470092211,6.47604463048749,6.3221967718189696,6.05299400407971,7.1862925530588795
CYP2E1,13.416903061057,14.203393889496901,12.6442078038397,14.4437076523393,14.339884789672,14.288736329569199,14.1023858421176
EPHB3,2.63720911985358,2.6927730998920296,2.6784438019900896,2.61335248358511,2.65431638067969,2.6167082114272597,2.6205160333675
ESRRA,7.15700327530089,7.16672548596044,7.00327615435041,7.1378006391488,7.428971461107969,7.14645157531692,7.11346089122292
CYP2A6,13.933118921712,13.686828772994199,14.031235964536801,13.6349017828557,13.9496717111812,13.1178541012098,13.9288884393976
SCARB1,9.75060148058241,10.502513600533,11.033023727244199,10.9060562963501,10.554655996825801,10.9088954497225,11.229635986140499
TTLL12,6.73580646418603,7.00127306735854,7.05216588766384,7.2545468039739,7.42066766206118,7.18222549109091,6.84454885592944
CYTOR,3.8744920697001297,4.01910585687755,3.9282187017799197,3.9626878259032203,3.79913912608589,3.69570435451306,4.32737120113999
WFDC2,2.9837141719876303,2.9207410950874,3.1445946201070805,3.05016209739208,3.6008049549894703,2.8504554071377,2.81083380226726
MAPK1,4.66893602711903,4.19516646257416,3.5164816774771297,4.549915553621959,4.57572377898527,5.26497547792109,4.55653364379536
ADAM32,3.53408651061495,3.56481712985475,3.5597732275373595,3.22033305078834,3.5919905153674603,3.29080920884369,3.37350901551801
SPATA17,2.4397587578130095,2.3385727415966002,2.33870964512076,2.23390952869075,2.32024204223306,2.95719957257812,2.35783910754961
PRR22,4.122598180415451,4.14081954791984,4.416704651782959,4.08410679644458,4.1237158523813,4.15155037685234,4.029514726869911
PXK,5.335061579293289,5.12338064169881,5.495356191789651,5.78888665088511,4.966227412517691,5.501649323827679,6.09127669436522
