Gene Symbol,GSM155932,GSM155933,GSM155934,GSM155935,GSM155983,GSM155987,GSM155991,GSM155993
MIR4640,5.28180950763709,7.208702578967181,7.635565772396211,5.653868296207941,8.58792749632064,5.50819727031819,7.65065686985888,6.093655242847349
RFC2,6.98186406697118,6.71020030560817,7.12246565817924,6.95673043442122,6.27576880693379,6.26846995146863,6.795883808827,6.095359042752251
HSPA6,4.92295420850892,5.15658673043612,5.57877874012994,5.4642304262600305,5.99129281068753,5.3818751437586,5.92769027199808,5.38678336121727
PAX8,6.755755529659701,7.005983774827629,6.41604759567047,6.33803748101185,6.25196141472808,6.41342314487205,6.40593961868084,6.411131303764599
GUCA1A,2.40367674612153,2.34700793223167,2.32175496109422,2.32601954169512,2.2998278318944503,2.32883646422954,2.33705452364064,2.33019696395411
MIR5193,7.70123714161261,7.280715102366941,7.40318249445324,7.82994467109771,8.427048797351219,6.930358876112419,7.73383561065032,7.679219687143071
THRA,3.8957776241563797,4.07730282509298,3.76832196984741,3.7959643075959106,3.70787813281685,3.80207945155711,3.7274412913633994,3.84923869270338
PTPN21,3.71077888794634,3.35323859033755,3.36478251821826,3.24668170208601,3.0465050295772897,3.2773123244772404,3.2761199375665497,3.2114701686725895
CCL5,6.82873311915091,6.08614047214537,5.835039798994759,7.71734055472389,8.99654410350238,5.78663033800437,7.53159979783793,10.1385917946375
CYP2E1,13.561490824807901,13.732379446391402,14.1996110044575,8.42385545640401,11.8311805471267,11.9084601751514,11.8726671858765,13.407559885725501
EPHB3,2.65764915063076,3.1957538897102302,2.61339963556689,2.61565876642475,2.5978839090688797,2.6200326846413504,2.6104945555723797,2.62108129898175
ESRRA,8.15915485576381,7.155324229050589,8.24884314434443,7.51543177167932,7.9317007833807995,7.66469615686487,8.01244017496024,7.36906509755863
CYP2A6,11.472690839242802,13.059836204863998,10.456333878377901,14.194441384264099,9.62065971626429,10.585347543713599,13.3288291730231,12.919995487307999
SCARB1,10.489205727924801,10.960110564652801,10.6568359817202,11.175580736962301,9.34971026863828,10.0830404685495,10.535673909822401,10.1295663756419
TTLL12,6.272041857354361,7.31146678606643,5.97938746611195,7.83757747738058,6.5939975808725,7.91712141368221,7.87030306463176,8.02104658737622
CYTOR,3.87583902760087,4.0270921091455,3.92820922492337,3.8110496691693996,3.70978689040034,4.72480304526683,4.57794840681259,4.01922152909525
WFDC2,2.8937369133017703,2.9431711926273705,2.86847145111845,2.8242220303969003,2.6538992425761,2.9611806363496296,2.80030976225285,2.8082552949459703
