Gene Symbol,GSM155937,GSM155939,GSM155945,GSM155946,GSM155955,GSM155958,GSM155959,GSM155960,GSM155986,GSM155992
MIR4640,4.921626747891099,6.59808228452596,5.2994424945259,5.3056313237849695,4.785984654980781,4.05022305713474,7.496486317602219,6.44297168616606,8.91194019767619,9.4465229879958
RFC2,6.73457414954252,6.841998270295121,6.37121557186494,7.20958983032716,6.6016846326178396,6.71438291065141,6.7019925537313405,6.94691796798583,7.378164779871629,6.57768259918833
HSPA6,5.446993933438151,7.704788984977959,5.31318416582169,6.4122700568658795,4.48851500895781,4.24530550174291,7.931948929008139,5.12229170426845,5.734912802402201,4.03797956033852
PAX8,6.40357620519102,6.318989219157849,6.373131379229901,6.26522308648417,6.279974516774209,6.5318867052172696,6.49848704163141,6.39943431037105,6.23442659340036,6.418311404529691
GUCA1A,2.29132359616883,2.28100974599124,2.31135488576036,2.2530574138339103,2.29838265237259,2.4300202638360298,2.3389720072349705,2.32310773702293,2.29883131130464,2.2955379010795
MIR5193,7.07319898678177,6.99917697827239,7.19021976366016,8.01049453818528,6.96451415408665,8.285711995114191,7.29232163280204,7.62789132214734,7.22455162700527,7.042239398025591
THRA,3.63497654229931,3.69760703721467,3.7394376969386,3.5591369081794304,3.1441916110143397,3.8387602014335,3.7700890126534103,4.01472127685284,3.6938771990259904,3.8152475063606697
PTPN21,3.27370087699902,3.19813422076502,3.1270141415828103,3.1523667870860295,4.01528346144655,3.30176906946028,3.5295960934164303,3.76328408473922,3.44936327931473,2.6400192940900897
CCL5,5.902370290419309,6.54218219792637,5.80310818488496,10.8793381850562,7.51657465031889,6.427396658405651,5.92909977744603,5.21532913945,9.202309966020369,8.203088563751558
CYP2E1,14.522538622453599,13.742667328286801,13.836188462031801,12.9937663385519,14.2958191466796,12.4962196509515,9.99746178111285,7.45107920225549,14.1106382721277,5.326368362299231
EPHB3,2.5762584864051603,2.5747070464155497,2.5980650096695297,2.52784353696769,2.57827214267483,2.68079917519509,2.61836553199056,2.65699053195309,2.56185643258313,2.6859513581541004
ESRRA,7.6577114522817995,7.14720492494223,7.13698086199024,7.19066423967114,6.906878573099751,7.020668871984191,6.48731429873528,7.15916494951661,7.62473697938533,8.77829072460595
CYP2A6,7.394119665412751,11.548104234786502,8.8440811674244,12.377167140411501,10.757106609890402,5.5241890784493695,12.404745093129002,13.1389421071861,4.55743459849788,7.823074212621339
SCARB1,10.2471917412116,10.4396854646256,9.33141411896634,9.58403233889169,9.15319226306818,9.17574663688522,10.9524282168275,10.0854724591813,9.83058175480136,10.2784959210807
TTLL12,7.6472353491279605,7.64031724995088,7.7967924050788495,6.594800819982559,6.3187958522628,8.57180193316229,6.60450726966104,6.45669281832452,6.92213836930746,7.95677108361463
CYTOR,3.77501892619796,3.60904573067554,3.7110102559271003,3.81669185586565,3.69658368353171,3.8116559795770604,3.7617426926297903,4.178627009328779,3.6418465592502405,3.6621029347490697
WFDC2,2.8326834661951,2.7774660072667,2.76694492782363,2.72747178830895,2.78495619380418,2.9083498647242005,2.8349296055883904,2.90270648925559,2.7565237656166204,2.70120747148663
MAPK1,4.64369459888089,5.4354552468958,5.06250168211147,6.3696514326979505,4.5126883233958,4.03382822078798,4.01306021446117,4.2723218527699895,6.08253867610296,4.9987867244549005
ADAM32,3.23036443121064,3.2875875406318396,3.3580726883687504,3.10586242538013,3.3531397664225095,4.3321135497348,3.42090004545458,3.37874742913257,3.49442841153894,3.24470290591525
SPATA17,2.18399775881568,3.0756934921086603,2.2911703308761497,2.25709814307441,2.2443330065508498,2.32628709823018,2.30345637926027,2.26367445975672,2.29476776764656,2.2134965987758504
PRR22,4.07971943602493,4.07983888066667,3.7901777419376703,4.04123421948029,3.91199830169935,4.1210817302430405,4.09789728471786,4.09231739541896,3.76244449600383,4.06311460489693
PXK,6.32531265167989,5.37634595603561,5.35563652357326,5.63303299017042,4.92832294309349,6.141481839110969,4.85668198494847,6.2960572150787595,4.9452050257104005,6.46396733116167
VPS18,3.20271077597278,2.60716457926152,2.56087877664363,2.62352510580931,2.49767367406508,2.6840556799402697,2.7033643129723197,2.66622030949915,2.69303414504534,2.51549295832665
MSANTD3,6.88496416470878,7.251065755994179,6.69068247784,7.04409899246108,6.98975211331534,5.55624239865903,6.91918512504964,6.221241026271089,6.457681289548639,6.46754686298939
SLC46A1,4.874669114047401,4.9359452791312695,5.102011376881451,4.712617789356821,4.65079327489483,5.59786484452525,4.54248712907446,5.84746832248785,5.50651308479422,5.93024768419329
TIMD4,2.3193433567327597,5.80616162904091,2.45417852583858,5.987459579937429,2.37148637756196,2.5768147588710097,2.4940929841306603,2.4691383936677798,2.35579718364633,2.60136848591982
SLC39A5,7.56408850290897,6.875300886884499,7.21322089455649,7.4556560022205,6.6083672017885196,8.40077699276053,6.50372399062542,6.68303670554971,6.81659970653491,9.279974980919311
ZDHHC11,5.72011426449628,7.11528299539919,5.91331070925598,5.90813318256439,5.702291837010269,5.1994446362211395,5.923260920816831,8.698496320313069,5.502906571713769,5.890402915025259
ATP6V1E2,5.12623777972204,3.12438769457721,3.68545804858209,2.9382763809268,3.12984020181998,2.54724992083951,2.9209468435727,2.86758219892898,3.6810668948397005,2.39134430600637
AFG3L1P,6.85815510298828,7.088077977093719,6.914731935286981,7.36896036977474,6.34262407679959,5.5900180930025005,6.677141743283171,6.57821416547245,6.21732960724942,5.91637632109578
CILP2,3.0414480154262797,3.0443993655127,3.4242368468501403,2.73307228243384,2.86666668477196,3.8322520500599997,3.09904098479832,3.0899912811381203,3.03565557829867,3.03846076485778
PIGX,6.97558433330703,7.44708322620965,6.937332620765389,7.0559331286074105,7.073563198215259,6.39244622908579,6.9913177569002,6.528294692457781,6.7501643035629,7.789396704704799
TMEM196,2.60645644180584,2.63383106395952,2.6488795544134702,2.56299944963313,2.61410673042639,3.07712162967112,2.66855032527761,2.6678058560710096,2.54630676986053,2.62767920451249
SLC39A13,4.54193603897414,4.415650514414731,4.493474415382559,4.94573410199934,4.956591057062309,4.6949247541199695,5.00193281773659,6.065585235822411,4.407413938604821,4.647746217208099
BEST4,2.03758604758546,2.5505658023658198,2.56129924989174,2.4557730304998198,2.5631874234057404,2.5672314666842597,2.6175994047882,2.57706622036606,2.56622334505792,2.5092169751763396
AK9,2.6054729990655,2.7566369110528397,3.3359262409283597,3.00725292095968,2.7248576033227905,2.90541444454607,2.79368575592915,2.7849436343048,2.60280366303269,2.7235825879873197
CORO6,2.72985943970591,2.67234386983348,2.78676362118505,2.61619064337891,3.2533993646536405,2.74161798956802,2.8654536732742297,3.80923949913776,3.07963923193038,3.53289043195925
TMEM106A,4.145098630915751,4.79645758904269,5.36918028934083,6.09014206740453,4.36875438295264,4.31647161551107,4.21015504660514,4.46294227349182,5.081825330284981,6.861148956060599
ALG10,2.4901310941624,2.6180295201469304,2.46162808837725,2.83486490095075,2.96357399940515,2.52659219460741,2.49689946367162,2.52987090912817,2.7151927138020295,3.33045801020322
TTC39C,8.80702641391314,8.86705011467246,9.442783878516071,10.2554653262584,9.624726014782409,8.60247618107419,9.97138548109354,9.578944372189401,7.572237883744281,7.8522298596311
NEXN,2.31094208749567,3.1560664870969504,3.1224739411756404,4.87818582370368,2.58700727344537,2.75753322162038,3.05074720461993,2.6734162179729197,2.65833260691405,5.52538612517104
C15orf40,6.5552133727422905,6.299321597525849,6.407607681791429,7.0583597931116,7.68373153887604,6.446003074260861,6.083743110308469,6.665875938385089,7.137134605693969,6.5070683537566305
RAX2,5.0853651659516395,4.39687189049046,4.75181181986212,4.62993940943954,4.37849081500212,4.226215645318581,4.648177795724821,4.621799875075791,4.54872020354126,4.7852523569743
MFAP3,5.81814243197996,5.112074551309671,4.585341158472731,4.82586701840108,5.4448856805878405,6.137921516867981,5.65773717236228,3.92518292588508,4.65637623630573,4.81997978014709
EYA3,2.7396191538835497,3.01377309806682,2.98374152934956,3.54023810164801,3.0460544487931602,2.99105103686054,2.86552295913996,4.10174251049021,3.49479959523964,3.0779453725529997
GIMAP1,4.994127114003129,4.48016816348452,4.40548188197721,6.477235321188379,3.1513766474726497,4.55463182493245,4.62147169548842,3.8258263235069103,3.72421368675736,4.46643788032996
KLK8,4.547178341995901,4.50082754214367,4.80244657124292,4.32083122979474,4.43713450413068,5.0848253918446,4.971322821967769,5.21882378166988,4.462850685852191,4.58425300122646
CCDC65,3.4151907774841805,3.2374229905639202,4.504239012913059,3.22894641144314,3.4442827563263303,4.34177231501565,3.5862363188204105,3.3657345242187,3.28397805705315,3.4979955006733
PABIR3,2.31611387518348,2.31862631865414,2.27254282411608,2.4404818506074504,2.3779788374875097,2.40241658123566,2.35965891142994,2.47069563740657,2.58244039009802,2.3620939114491804
CFAP53,3.8208427047704796,3.7202456265809705,3.88049942224827,4.10139795218253,3.7711777872951298,4.26532436864904,3.9753091848559303,4.20852506319769,3.45781752067762,3.7450544285472898
ARMCX4,3.50161748054298,3.6868254471445603,3.7592410717572795,3.6600957541434402,4.74000467412875,3.06801551667996,4.465334575495531,4.57434375392001,3.38614875473436,3.5055479949068302
RBBP6,5.976540066364441,5.95920678222109,5.54441737963904,7.066390617631741,6.1009503236963605,4.991843794741,5.89199022162109,5.45675030612855,4.36148765214307,5.24294160991499
CENPBD1,5.84084588756207,5.44300982513041,5.486485917503741,5.18100313339229,5.08673706798325,4.16998911979707,5.1536837555313895,5.51018024774174,4.66013569689346,3.8452491634889903
TRIOBP,5.24083330086179,5.12118950882207,5.30560943735589,5.22255729134873,5.25607467563393,5.2567729161260095,5.26049242330763,5.25881662886313,5.56189124935742,5.388919656455389
CATSPER1,2.10519531105662,2.33095415472229,2.0873440261780503,2.03142695780303,2.07882499333805,2.1751572938386,2.12885426671534,2.0936074990285802,2.08539406154711,2.10003235603607
HOXD4,2.1084675842005103,4.109327124601021,2.17134775877107,2.08316229849408,2.13788709848097,2.1908297472999703,2.16893401056842,2.1639269688099296,2.2436294794192597,2.11337045492522
GSC,2.37544541465406,2.2512040229146604,2.1933743562673,2.12215252603652,2.19484351199952,2.2703405574650097,2.23951719189098,2.20393719726591,2.1765589467440503,2.14537747385466
SP7,2.3038421070664103,2.298813719465,2.31363187345988,2.2896662884689998,2.40117716415692,2.33788517538855,2.3232259364830097,2.3189877735202202,2.29522049129948,2.29223106460553
PDE7A,3.52740819294853,4.2980057296859595,3.84752595006188,5.75077798885349,4.04799199513116,3.7595819732335496,4.15261340467436,4.65084496185479,5.15699923175409,3.82830661377564
CNOT7,4.81986740878608,4.335404647577089,4.46987295550234,5.931084961532849,6.08658634997731,4.4369613378335995,4.649408523818809,5.392444511743999,6.37247332502192,4.44770481530423
CRYZL1,7.00493952746384,6.56849579709651,8.00141382441125,6.953474782469421,7.0363934350498605,6.04703663869683,6.469244563578419,7.80640784264259,6.396073840216191,5.7524863566818
PRSS33,2.9241302978638704,2.95098716850825,3.02316662293954,2.85927585451783,2.9207944401048898,3.12243749563573,3.08356399841415,2.99649902343269,2.9124180187789905,2.98192569929066
CBARP,2.5768534481078,2.61317800785159,2.6153574393781605,2.54049105985336,2.5830954074875496,2.6584308699891896,2.63204714045078,2.6336520734308198,2.57090732922829,2.61191832731636
MCMDC2,2.5997510132963,2.55598053441731,3.80474540742575,2.46746208852818,2.72154984086061,2.67561272037668,2.6218619863815,2.62803164693505,2.50263611720246,2.72135734648382
TIRAP,4.589092309935941,4.36397001637739,4.8676197562174695,4.6016727486568305,4.83225205005999,4.27853494872691,4.64578234396466,4.571877001868571,4.84927873253078,5.683699261103481
LEAP2,12.4004472032769,13.231617207351901,13.557391900124301,12.621262057344198,14.5238192072017,12.43630032586,12.507859044789699,12.6829002437865,12.3632833451647,12.243010302102098
MSI2,2.7408369169450295,2.9773000752898997,2.7598397264915895,3.33746848205966,3.19337751056436,2.7054936055180003,2.77695671629376,3.69122147266692,3.14855345607381,2.9290618927904304
SCIN,2.70506224603854,2.6104921932578,2.66390473631973,3.97118484732662,2.64575007035183,2.77081213522228,2.9353956266007697,2.65745479791881,2.6729638476053,2.61078745260596
CTCFL,2.71005589935896,2.7992925024131803,3.4565301975597698,2.82395515382071,3.19559170183079,2.96490131598294,2.88689931725385,2.8419006805375404,2.7685591120870097,2.7580856690217
C4orf33,6.39954539385522,5.88241073230381,5.96773810137412,7.2239823738009,7.7908632458286,5.64369748459128,6.304892473244309,4.44980565469314,5.940209043854309,5.3688591256899905
ZNF333,3.05738615097938,3.06055414075796,2.90170489708538,3.68763182874335,3.07492153838283,3.1513669050188,3.5178929590180497,4.17650628965119,3.0759723893161803,3.6304520694068096
TVP23C,4.05010984413388,3.9358085926624304,4.09643897382623,4.1586763308556005,3.5728775448819,4.1110480101513796,4.0644517716997095,3.51041764217693,3.86429511664474,3.90961951565605
RDH10,7.9927344472882496,7.12936545430626,6.491570941710111,5.75742868074314,7.112773099583929,6.55253077657875,8.49031340030211,7.642225022595401,6.45891838696307,5.7192820267516105
SRSF12,3.1661948240990494,3.2648921818522503,3.24079362139525,3.24698565772528,3.31044919121494,3.41120928279036,3.3591837899745096,3.59738814903911,3.2555445420708597,3.28291864690723
FAM71A,6.23560261819518,6.3816588812405195,5.93469104863467,6.0840408718431505,6.35161949596053,6.45674045123912,6.431019482135611,6.54797414832058,6.04623784167575,5.979010119638799
GAPT,3.0320179475496807,2.8355542604842205,3.06373416915268,5.378691948863731,3.06883071913136,3.13370489503775,3.08078726133395,2.99405106155401,2.9789716933702097,3.03036256579686
SCUBE1,4.14101581404518,3.9353937406398396,4.04790477421298,3.4364816918910597,4.11963008047515,5.1600045024823,3.79064694327335,3.7830689500075496,3.2254291875592,3.75844176813622
ERICH5,5.392914986951669,5.8923303051473495,4.28592001645728,6.6476311077958,4.21805266307705,3.8100008700941403,8.35863362034354,10.718686983628801,6.246803292026531,9.1586601753465
CCDC185,4.31473277382003,4.47455934525148,4.68834263866128,4.31749944420757,4.496129951988809,5.0507019369352,4.5274144488216,5.09844482424709,4.19341693869573,4.30256033303351
