Gene Symbol,GSM155936,GSM155943,GSM155944,GSM155949,GSM155950,GSM155953,GSM155954,GSM155956,GSM155957,GSM155962
MIR4640,8.71777922427596,6.51015334057447,6.1805715826384295,6.29317365268178,6.532556972897769,7.8220226460933695,7.7008904899119495,7.464668267003441,7.91373913857753,6.67434765410252
RFC2,7.53303376450484,7.6208356350184205,6.8569234603931495,6.84732048470577,7.46537865858553,8.17955085918808,7.8362081905202805,8.331741039828481,8.09107565948951,7.9768447593722405
HSPA6,6.43713283916909,5.84684178727652,4.723989885740731,5.09945091272739,6.17949114540129,5.660748964556401,4.924836251476839,5.90540626088183,6.454564157575071,4.9041902302528
PAX8,6.836782565824421,6.721919445551539,6.3957157729355005,6.6729202994731605,6.521419846184631,6.77627510051224,6.475462697619469,6.175179255052661,6.872927233651231,6.77480023483819
GUCA1A,2.24161445886053,2.30902771848515,2.30375445071137,2.29785170569574,2.2724203982271804,2.32906904559702,2.27922463462466,2.32441892046398,2.3031933238867404,2.3055707705197297
MIR5193,6.31084359440154,6.61546926730613,7.34327456229117,7.74262606994879,6.97820707233171,7.313354702940679,5.69567095170673,6.413270807227651,5.75184127051345,6.63289344176327
THRA,3.6948244892125897,3.4890162147102006,3.6445023724189403,3.6296713555731803,3.69545938263856,3.7623594471085697,3.7839385199346,3.74198464575727,3.72915030409523,3.74417186191114
PTPN21,3.1961553443794704,2.9120979716044104,3.27585333929724,3.24395844389888,3.24137802011976,3.1985491573034306,3.0860635973734505,3.34906798837225,3.2338911271247595,3.2121926637919502
CCL5,5.84656853272331,6.16645234601895,7.01437761172524,7.520257224949981,9.236667204531368,5.51645646347033,3.83194815844643,6.71197664230397,3.66679067089271,5.649023315291691
CYP2E1,7.127705495204519,13.155295764513,14.665913235018198,14.2777741258724,13.2750303346157,8.308866859831799,10.650629946288301,13.840355043421098,10.9360047808326,13.9052741725266
EPHB3,2.71833970467964,2.59985572818077,2.70369431559291,2.58986653295059,2.80636736852812,2.6152609072487403,2.61985666794417,2.6085443300851296,2.5899575907014,2.59790297336059
ESRRA,7.11134436328308,7.7519122173412,7.115407855414059,7.49088295855267,6.347348526148091,6.87041404164768,6.73122397975006,8.349449321474731,8.20155055096639,6.49929102031278
CYP2A6,4.68802365705471,7.169263614635851,8.51200559729796,12.597575401147498,6.14735758300712,8.82440827997739,6.5462601518430805,5.06330447180135,5.423692452642161,8.91309285561437
SCARB1,10.735767547266601,10.4285800151395,10.632359108241099,10.448859664638599,9.11661427876572,11.3556098772865,10.220015492037302,11.186850878526899,9.982466010691919,9.86633001803452
TTLL12,8.28283823332694,7.320015256422661,7.8417404479847095,7.43143910131788,7.19941715171615,7.23761151674132,8.04492956586887,7.68356312516049,7.73772731636011,7.80885480258762
CYTOR,4.72653153248242,3.90408904884933,3.6947799247947204,4.28679245479301,4.50446785270536,3.80003013908041,3.65116652800466,3.7093237246797,3.67179154848281,3.6803356102715803
WFDC2,2.80290869897191,2.7577358813350297,2.78243372799353,2.80325803957689,2.8171381848745205,2.9296149100190596,3.2083174785944597,2.80678391403453,2.7798627312255495,2.8500852983522798
MAPK1,5.47362782980838,5.470442504415019,3.49671798793518,4.88713530046191,5.0313687278018,4.755111903939031,4.83300137579961,4.6517520536718,5.2246075753660195,5.27979813082313
ADAM32,3.242311346331,3.35363381831772,3.3295972392932303,3.3135375543912797,3.2724353287698595,3.3827364119234504,3.24844830827315,3.38446431478275,3.81671233269541,3.35160006285721
SPATA17,2.17890900554764,2.24491445180729,2.21994910742638,2.23846282812812,2.27134499287973,2.39457999188138,2.2321019879632797,2.24678201452667,3.34046257293336,2.2439797630824705
